rating,name,title,review,date,upvotes,is_certified,iD
5.0,Saqib zahoor,Cant ask for more !!!,"I had been using bold 4 for the past 3 years and i could never fancy using the touchscreen phones market has been infested with. I was almost on the verge of buying an iphone or samsung note when i heard about the passport launch. Although it was out of my budget but amazon put it up on flash sale and i could not resist the temptation of going for it. Bought it for Rs 41,800 and let me tell you its worth every penny spent. It surely looks different but you will have no problems handling the phone if you are bi-dextruous. This is a phone which is going to grab eye balls whenever you are gonna take it out of your pocket. Yesss, it does fit in even inside a jeans pocket. Talking about the battery, i haven't seen such incredible battery time ever since those good old black and white nokia days. A mixed usage would at least last you a day and a half. The touch interface is amazingly smooth and the keyboard is flawless (does take you a few days to get accustomed to the new format). Overall, i could safely say that its the best handset i have used so far. Way to go bb.",11 February 2015,3,Verified Purchase,"""R30BGS2D8RB6RX"""
5.0,Mukesh Kapoor,Best things in BB Passport Nice Bulit Quality Attractive Design ...,"Big Display and Square Design is the new thing by Blackberry.,Best things in BB Passport,Nice Bulit Quality,Attractive Design and it looks like a premium Product and it is,QWERT keypad is always nice for Typing,Keypad Quality is Very good,Keypad is Touch Sensitive - Innovative thing and I personally like this one,Sound Clarity,Blackberry blend is the ANother Addition to this Phone, So you can attach with your MAC or PC on the Go -- Cool thing,Application download from Amazon app store and BB world is good so Far -- No problem in finding any App,Bad things in BB Passport,Hard to Hold in One hand,Can't type or answer any message with one hand,Square Display - So some cut outs in Video playing,Improvements needed for Blackberry Passport,Turbo Charging is a Must in this Device,More improvements must be there in software for this premium device,I hope Blackberry will provide some things in future updates, Specially for Passport because This Product is the comeback for BB ;)",10 January 2015,3,Verified Purchase,"""R1KODGIHOBIJ9W"""
4.0,AEL,The Passport of Passports...,"Indeed it is the best BlackBerry yet!,Most available Apps programmed for this iOS (10+) suffice but a few more would have been much, much better.,Almost all on this phone functions well but some basic things in Contacts need to be improved ASAP:,1. Import of data (somewhat cumbersome and troublesome).,2. Search functionality should be taken to a new level (not enough, eg. search contacts by city, etc.),3. Nickname does not show up in address look-ups (older versions had this enabled. Today you have to get into the edit mode to view this detail. Why?).,4. Old contacts (Version 7) showed you ""Mobile 1"" and ""Mobile 2"", etc. That way you knew your first choice. Now that's lost completely.,5. Etc.,There are many such little details that have been lost -- that's a step backward, rather than forward... a pity!,I consider this to be a great phone and am getting more used to it by the day, even though it's handling (because of the width) needs some special getting used to. The phone as such is refreshingly different. I wish though that the red version had emerged from day one. For that and not only that, I feel cheated. Why are customers worldwide not getting the iPhone trade-in option, like for a limited time in the U.S.A.??,(This is an opportunity to claw back and get some of that lost market share back from Apple and Samsung!)",6 December 2014,3,,"""R2J1U9CZ4GGZ3E"""
5.0,muhlan,Awesome device from Blackberry,"Previous smartphone: Lumia 920,Reasons for the change: Actually I was very happy with my Lumia 920 and Windows Phone in general. However, I was not comfortable typing on a touch screen. In addition the call quality was not so good and I had an empty battery in the afternoon even with quite light usage. I therefore bought a tablet (Lumia 2520) to work while traveling, but the tablet did not fit into my pockets and it bothered me that due to the quite large screen anyone could read along.,Why the BlackBerry Passport? The main reason was of course the keyboard and the long battery life (I bought it via Amazon.de),Build quailty: absolutely great. Nothing creaks, there are no visible columns and all push buttons have a pleasant pressure point.,Keyboard: The mere fact that I could use a physical keyboard again was great. The keys have a very pleasant pressure point and I was able to type almost as fast as on the Lumia 920 (Tipp: to train typing use the app ExtremeTypist). The fourth column with the virtual characters could be easily integrated into the flow of typing. The word suggestions are very helpful and the operating system quickly learns the user-specific words. For meaningful typing two hands are definitely needed, but that was also the case with the Lumia 920 to be honest. However if you just want to surf on the way to work you can do that easily with one hand, especially since you can use the integrated touchpad to scroll without touching the screen.,Transport: shirt pocket no, jacket inside pocket yes and jeans pocket also a yes.,Battery: with a constant use from 6:00 am (push synchronization of two e-mail accounts, Whatsapp and BBM, watching an hour of video on Youtube and internet use throughout the day in a low coverage area) the battery at 8:00 pm had still 34% left. With such a usage my Lumia 920 would have shut down already at around 4:00 pm. What really impressed me was the low battery consumption while using the BlackBerry Passport as a media player via bluetooth: even after four hours of music playing the battery was still at 80% (starting wih 90%). The BlackBerry Passport connected both to an Audi and a Ford without any problems.,Screen: the high resolution and the bright colors are well known specifications and I was not dissapointed. But what really surprised me was how pleasant the wide screen is for reading documents and web pages without having to scroll much. Of course the Lumia 920 had the landscape mode, but while you have to scroll less sideways you have to scroll even more vertically.,Apps: I was never a big app user therefore the amount of apps available was not such a relevant criteria for me. However, the offer via the Amazon store is quite large. Also, I have downloaded and installed the app Snap (which was quite easy even for a non IT guy like me) and thereby I have access to almost all Android apps. The Android apps I have downloaded are all working properly. SafeGuard for checking apps from non BlackBerry World sources for known malware is also a nice feature.,Reception and call quality: here I could perform a direct test because with the Lumia 920 I had very poor reception in my workplace. After using the BlackBerry Passport for a call for the first time the person on the other end of the line asked me if I was outside since the call quality was so good. So nothing to add regarding call quality.,BlackBerry assistant: quite useful as far as calendar and e-mail function is concerned, but in other areas there is still some catch up to do to get on a even level with the competition (remeber I am talking about the assisstant in German so the user experience could be much better in Englisch).,Photo and Video: I am completely satisfied with the quality, only the autofocus is sometimesa bit slow. The story maker app and the possibility to zoom in and out of a running video should also be mentioned on the plus side.,Operating System: I will not go into the details of the operating system, but instead make a gross comparison with Windows Phone. The first ""shock"" was of course great, since I was used to the cool Metro Design home screen of my Lumia 920. To be honest I still miss the home screen from time to time where you can put the most relevant apps, but BlackBerry ""compensates"" that by giving me the possibility to arrange my apps in folders. Another great feature is the BlackBerry hub where I can see all important messages and mails at a glance (for all so-called journalists who complain about the huge number of messages being shown in the hub in their tests: you can specify which messages should appear in the hub and which not). The performance of BES10 is very fluid and so far I had no sudden shut downs or freezes. The browser in my opinion is better and faster than the browser of Windows Phone. All in all I really got accostumed to BES10 quickly and while there are some features that I miss from Windows Phone I will not go back. The two things that really annoy me are that you can not turn of the shutter sound of the camera and the sound while dialing a number - I mean WTF how hard can it be to implement that option?,Final thoughts: I have written the entire review on the BlackBerry Passport and the experience was almost as good as writing it on a Laptop. I have used the BlackBerry Passport for over a month now and it became my main working device on the go and at home. While there is room for improvement on the software side I have to say that the BlackBerry Passport is a f*****ing awesome device.",19 November 2014,3,,"""RNKZWLQTIJN7M"""
5.0,SV,Fantastic Work Phone,"Fantastic phone for email and messaging. The BB Hub is probably the best feature of this phone. I track over 8 email ids for work and there is no phone that can do it better. Have used the iPhone and Android but came back to BB because productivity in terms of work related communication mattered to me more than use of apps in the course of a typical workday. I use this phone for emails and browsing (very good) but prefer my iPad for apps like Flipboard etc. The touch sensitive trackpad makes typing a breeze. I also appreciate BB Blend. This feature allows me to get a desktop view of the BB Hub on my computer when in office. I can view and reply straight from my computer. BB Blend works for emails and BBM. I hope they open it up so that I can view and reply to messages from third party apps like WhatsApp.,Form factor does require getting used to but the high screen resolution and additional horizontal space makes reading a pleasure and one gets used to holding and using the phone. If you track multiple email accounts, forward and reply to a large number of emails, read excel, pdf, powerpoint on a mobile, and browse regularly on your phone then you should consider this device. However, if you are into games and apps then an iPhone or Android device would work better.",6 November 2014,3,Verified Purchase,"""R34S5SHE272LOZ"""
5.0,ps,Perfect for people who want phone for work,"It will take some time to get adjusted with the keyboard and once you are done you will be doing magics on this phone.,Fast processor with 3GB RAM !!!!,Display is sharp, bright and huge !!!,Awesome camera and battery !!!,Build wise there are very few phones with this sort of premium quality, a bit heavy phone. A leather case is a must.,Go ahead for purchasing if your main work on phone is not playing games.,Those who have used BB10 OS before, for them the main features to look out for in this phone are - the keyboard, camera, wide screen, long lasting battery (mine lasting for 30hours with medium use), advanced interactions work awesomely, and many more with the upcoming 10.3.1 updates.,Those who have never used BB10 OS, for you guys there is an infinite list of features, much better than other OS, dont miss this, if your main work on phone is not playing games.",5 November 2014,3,Verified Purchase,"""R2Z8BQ6JFGAI9D"""
5.0,Blackberry Passport,Great Phone,"I have used samsung s4, then iPhone 5s. But the passport has far more better features. I am loving it. The size is good, is not odd as said by some. The feel is nice & the OS is extremely well drafted.",17 October 2014,27,,"""R3G7ZCZ3UNWIBQ"""
5.0,The Best,for thw best professional users,"BlackBerry blend, bbm, the Hub, hardware specs, keyboard, amazing screen...made for the most productive professionals. Perfect size for jacket pocket, jeans or for the purse or nag. Can access phone on computer or tablet anywhere using blend. Superb!",12 October 2014,12,,"""R2022LPOXEQ9O6"""
5.0,Soham Chaudhary,Awesome phone,"The Blackberry passport is an amazing phone ....,I am a proud owner of a oneplus one and when i got this phone for my dad.....it has tge same flagship specs.....the 4.5 inch screen may seem small on paper but going hands on with it it is huge. .super hi rez display......... and the best part about it is the qwerty keyboard. ..... It enables the slowest of typers to type faster. ..,Only con is the price.",13 October 2014,18,Verified Purchase,"""R3I5WPXHZ3PEEO"""
5.0,exceptional,awesome,"Since the day I started using this fabulous phone, following things followed,1 paradigm shift (cant even hold usual shaped phones now, feels like something missing),2 lot of attention from others ( hey wats that?),3 no worried emergencies looking for a battery charge ( never had charged again in the day which was no 1 challenge with my previous device z10),4 served as one of the best cameras ever on the diwali trip (had many amazing clicks even in low light),5 less use of mac book.,So over all BlackBerry passport is a complete solution for productivity with awesome styling and solid built.,Simply loving it.",12 November 2014,10,,"""R1G3445XCT4DJX"""
